GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Application,UseCases.Queries.Vuelos.GetByKey,GetVueloByKeyHandler,0,71,0,2,0,17,0,4,0,3
Application,UseCases.Queries.Vuelos.GetByKey,GetVueloByKeyQuery,0,6,0,0,0,3,0,1,0,1
Application,default,Application,0,33,0,0,0,16,0,2,0,2
Application,UseCases.Command.Tripulantes.Crear,CrearTripulanteCommand,0,15,0,0,0,5,0,1,0,1
Application,UseCases.Command.Tripulantes.Crear,CrearTripulanteHandler,0,31,0,0,0,9,0,2,0,2
Application,UseCases.Command.Tripulantes.Eliminar,EliminarTripulanteCommand,0,12,0,0,0,4,0,1,0,1
Application,UseCases.Command.Tripulantes.Eliminar,EliminarTripulanteHandler,0,33,0,2,0,9,0,3,0,2
Application,UseCases.Command.Vuelos.Editar,EditarVueloCommand,0,12,0,0,0,4,0,1,0,1
Application,UseCases.Command.Vuelos.Editar,EditarVueloHandler,0,65,0,2,0,16,0,3,0,2
Application,UseCases.Queries.Tripulantes.GetByKey,GetTripulanteByKeyHandler,0,35,0,2,0,10,0,3,0,2
Application,UseCases.Queries.Tripulantes.GetByKey,GetTripulanteByKeyQuery,0,6,0,0,0,3,0,1,0,1
Application,UseCases.Command.Tripulantes,UpdateTripulanteWhenVueloCreadoHandler,0,10,0,0,0,5,0,2,0,2
Application,UseCases.Queries.Tripulantes.GetAll,GetAllTripulanteHandler,0,10,0,0,0,4,0,2,0,2
Application,UseCases.Queries.Tripulantes.GetAll,GetAllTripulanteQuery,0,3,0,0,0,2,0,1,0,1
Application,UseCases.Command.Tripulantes.Editar,EditarTripulanteHandler,0,40,0,2,0,11,0,3,0,2
Application,UseCases.Command.Tripulantes.Editar,EditarTripulanteCommand,0,12,0,0,0,4,0,1,0,1
Application,UseCases.Command.Aeronaves.Eliminar,EliminarAeronaveCommand,0,12,0,0,0,4,0,1,0,1
Application,UseCases.Command.Aeronaves.Eliminar,EliminarAeronaveHandler,0,33,0,2,0,9,0,3,0,2
Application,UseCases.Queries.Vuelos.GetAll,GetAllVueloHandler,0,10,0,0,0,4,0,2,0,2
Application,UseCases.Queries.Vuelos.GetAll,GetAllVueloQuery,0,3,0,0,0,2,0,1,0,1
Application,UseCases.Command.Vuelos.Crear,CrearVueloCommand,0,27,0,0,0,8,0,1,0,1
Application,UseCases.Command.Vuelos.Crear,CrearVueloHandler,0,37,0,0,0,10,0,2,0,2
Application,UseCases.Command.Vuelos.Eliminar,EliminarVueloHandler,0,33,0,2,0,9,0,3,0,2
Application,UseCases.Command.Vuelos.Eliminar,EliminarVueloCommand,0,12,0,0,0,4,0,1,0,1
Application,UseCases.Command.Aeronaves.Editar,EditarAeronaveCommand,0,12,0,0,0,4,0,1,0,1
Application,UseCases.Command.Aeronaves.Editar,EditarAeronaveHandler,0,40,0,2,0,11,0,3,0,2
Application,Dto,VueloDto,0,64,0,0,0,27,0,17,0,17
Application,Dto,AeronaveDto,0,17,0,0,0,8,0,5,0,5
Application,Dto,TripulanteDto,0,43,0,0,0,19,0,10,0,10
Application,UseCases.Command.Aeronaves.Crear,CrearAeronaveHandler,0,27,0,0,0,9,0,2,0,2
Application,UseCases.Command.Aeronaves.Crear,CrearAeronaveCommand,0,7,0,0,0,3,0,1,0,1
