GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vuelo,dmsnur.Application.UseCases.Queries.Tripulantes.GetByKey,GetTripulanteByKeyQuery,6,0,0,0,3,0,1,0,1,0
vuelo,dmsnur.Application.UseCases.Queries.Tripulantes.GetByKey,GetTripulanteByKeyHandler,35,0,2,0,10,0,3,0,2,0
vuelo,dmsnur.Application.UseCases.Command.Tripulantes.Crear,CrearTripulanteHandler,31,0,0,0,9,0,2,0,2,0
vuelo,dmsnur.Application.UseCases.Command.Tripulantes.Crear,CrearTripulanteCommand,15,0,0,0,5,0,1,0,1,0
vuelo,dmsnur.SharedKernel.core,BussinessRuleValidateExeption,37,0,2,0,11,0,6,0,5,0
vuelo,dmsnur.SharedKernel.core,DomainEvent,18,0,0,0,8,0,4,0,4,0
vuelo,dmsnur.SharedKernel.core,Entity,44,0,4,0,16,0,9,0,7,0
vuelo,dmsnur.SharedKernel.core,ValueObject,19,0,4,0,6,0,4,0,2,0
vuelo,dmsnur.SharedKernel.core,AggregateRoot,3,0,0,0,2,0,1,0,1,0
vuelo,dmsnur.Domain.Event,VueloCreado,87,0,0,0,36,0,18,0,18,0
vuelo,dmsnur.Application.UseCases.Queries.Vuelos.GetAll,GetAllVueloHandler,10,0,0,0,4,0,2,0,2,0
vuelo,dmsnur.Application.UseCases.Queries.Vuelos.GetAll,GetAllVueloQuery,3,0,0,0,2,0,1,0,1,0
vuelo,dmsnur.SharedKernel.http,Rest,195,0,12,0,56,0,13,0,7,0
vuelo,dmsnur.SharedKernel.http,Response,23,0,0,0,10,0,5,0,5,0
vuelo,dmsnur.SharedKernel.http,Controller,193,0,16,0,48,0,12,0,4,0
vuelo,dmsnur.SharedKernel.http,HttpStatus,3,0,0,0,1,0,1,0,1,0
vuelo,dmsnur.SharedKernel.http,Action,550,0,70,0,135,0,49,0,14,0
vuelo,dmsnur.SharedKernel.http,Action.ActionType,27,0,0,0,5,0,1,0,1,0
vuelo,dmsnur.SharedKernel.db,DbContext,92,0,6,0,22,0,6,0,3,0
vuelo,dmsnur.SharedKernel.db,DbSet,99,0,0,0,29,0,12,0,12,0
vuelo,dmsnur.SharedKernel.db,ModelBuilder,3,0,0,0,1,0,1,0,1,0
vuelo,dmsnur.Domain.Factories,AeronaveFactory,8,0,0,0,3,0,2,0,2,0
vuelo,dmsnur.Domain.Factories,VueloFactory,13,0,0,0,3,0,2,0,2,0
vuelo,dmsnur.Domain.Factories,TripulanteFactory,10,0,0,0,3,0,2,0,2,0
vuelo,dmsnur.Application.UseCases.Command.Vuelos.Eliminar,EliminarVueloCommand,12,0,0,0,4,0,1,0,1,0
vuelo,dmsnur.Application.UseCases.Command.Vuelos.Eliminar,EliminarVueloHandler,33,0,2,0,9,0,3,0,2,0
vuelo,dmsnur.Domain.Model.Aeronaves,Aeronave,9,0,0,0,4,0,1,0,1,0
vuelo,dmsnur.Application.UseCases.Command.Aeronaves.Crear,CrearAeronaveCommand,7,0,0,0,3,0,1,0,1,0
vuelo,dmsnur.Application.UseCases.Command.Aeronaves.Crear,CrearAeronaveHandler,27,0,0,0,9,0,2,0,2,0
vuelo,dmsnur.Application.Dto,TripulanteDto,12,24,0,0,5,11,1,7,1,7
vuelo,dmsnur.Application.Dto,AeronaveDto,0,17,0,0,0,8,0,5,0,5
vuelo,dmsnur.Application.Dto,VueloDto,49,8,0,0,21,3,14,1,14,1
vuelo,dmsnur,App,9,0,0,0,7,0,3,0,3,0
vuelo,dmsnur.Infraestructure,UnitOfWork,33,0,2,0,10,0,3,0,2,0
vuelo,dmsnur.Infraestructure,Extensions,21,0,0,0,9,0,2,0,2,0
vuelo,dmsnur.Application.UseCases.Command.Vuelos.Crear,CrearVueloHandler,39,0,0,0,10,0,2,0,2,0
